"title","year","popularity","comedy","fantasy","romance","horror","action","non-fiction","type"
"Crawlspace","2016","5.3","0","0","0","1","1","0","M"
"The Twilight Saga: Breaking Dawn - Part 1","2011","4.9","0","1","0","0","1","0","M"
"Zootopia","2016","8.1","1","0","0","0","1","0","M"
"Ballerina","2016","6.8","1","0","0","0","1","0","M"
"Bleed for This","2016","6.8","0","1","0","0","0","1","M"
"Dark Places","2015","6.2","0","1","0","1","1","0","M"
"Collide","2016","5.7","0","0","0","1","1","0","M"
"Birth of the Dragon","2016","3.9","0","1","0","0","1","1","M"
"Shut In","2016","4.6","0","1","0","1","1","0","M"
"Paris pieds nus","2016","6.8","1","0","0","0","0","0","M"
"American Honey","2016","7","0","1","0","0","0","0","M"
"31","2016","5.1","0","0","0","1","1","0","M"
"The Warriors Gate","2016","5.3","0","1","0","0","1","0","M"
"Amateur Night","2016","5","1","0","0","0","0","0","M"
"The Sea of Trees","2015","5.9","0","1","0","0","0","0","M"
"Love, Rosie","2014","7.2","1","0","1","0","0","0","M"
"Final Girl","2015","4.7","0","0","0","0","1","0","M"
"Bahubali: The Beginning","2015","8.3","0","1","0","0","1","0","M"
"The Lobster","2015","7.1","1","1","1","0","0","0","M"
"Dead Awake","2016","4.7","0","0","0","1","1","0","M"
"Chalk It Up","2016","4.8","1","0","0","0","0","0","M"
"The A-Team","2010","6.8","1","0","0","0","1","0","M"
"Good Kids","2016","6.1","1","0","0","0","0","0","M"
"The Escort","2016","6","1","1","1","0","0","0","M"
"A Street Cat Named Bob","2016","7.4","1","1","0","0","0","1","M"
"Tron","2010","6.8","0","1","0","0","1","0","M"
"It's Only the End of the World","2016","7","0","1","0","0","0","0","M"
"Pet","2016","5.7","0","0","0","1","1","0","M"
"Godzilla","2014","6.4","0","1","0","0","1","0","M"
"Srpski film","2010","5.2","0","0","0","1","1","0","M"
"The Age of Shadows","2016","7.2","0","1","0","0","1","0","M"
"The Whole Truth","2016","6.1","0","1","0","1","0","0","M"
"The Man Who Knew Infinity","2015","7.2","0","1","0","0","0","1","M"
"Paint It Black","2016","8.3","0","1","0","0","0","0","M"
"Swiss Army Man","2016","7.1","1","1","0","0","1","0","M"
"Everybody Wants Some!!","2016","7","1","0","0","0","0","0","M"
"The Guest","2014","6.7","0","0","0","0","1","0","M"
"The Skin I Live In","2011","7.6","0","1","0","0","1","0","M"
"Macbeth","2015","6.7","0","1","0","0","0","1","M"
"Rupture","2016","4.8","0","1","0","1","1","0","M"
"Assassin's Creed","2016","5.9","0","1","0","0","1","0","M"
"Shin Gojira","2016","6.9","0","1","0","0","1","0","M"
"Iron Man Three","2013","7.2","0","1","0","0","1","0","M"
"Fast & Furious","2009","6.6","0","0","0","1","1","0","M"
"A Bigger Splash","2015","6.4","0","1","0","0","1","0","M"
"MÃƒÂ¤n som hatar kvinnor","2009","7.8","0","1","0","1","1","0","M"
"Oz the Great and Powerful","2013","6.3","0","1","0","0","1","0","M"
"Dear Zindagi","2016","7.8","0","1","1","0","0","0","M"
"Busanhaeng","2016","7.5","0","1","0","1","1","0","M"
