,title,year,popularity,homepage,type,action,comedy,fantasy,horror,non-fiction,romance
178,Mulan,1998,7.6,,M,1,1,0,0,0,0
179,Die Hard: With a Vengeance,1995,6.9,,M,1,0,0,0,0,0
180,Atlantis: The Lost Empire,2001,6.7,http://www.disney.com/atlantis,M,1,1,1,0,0,0
181,Alvin and the Chipmunks: The Road Chip,2015,5.8,http://www.foxmovies.com/movies/alvin-and-the-chipmunks-the-road-chip,M,1,1,0,0,0,0
182,Valkyrie,2008,6.7,,M,1,0,1,0,1,0
183,A.I. Artificial Intelligence,2001,6.8,,M,1,0,1,0,0,0
184,The Haunted Mansion,2003,5.2,,M,1,1,1,1,0,0
185,Contact,1997,7.2,http://www.warnerbros.com/contact,M,0,0,1,1,0,0
186,Hollow Man,2000,5.6,,M,1,0,1,0,0,0
187,The Interpreter,2005,6.2,http://www.theinterpretermovie.com/,M,1,0,0,1,0,0
188,Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,,M,1,0,1,0,0,0
189,The Saint,1997,5.9,,M,1,0,1,0,0,1
190,Spy Game,2001,6.8,,M,1,0,0,1,0,0
191,Mission to Mars,2000,5.7,,M,0,0,1,0,0,0
192,Bicentennial Man,1999,6.9,,M,0,1,1,0,0,0
193,Volcano,1997,5.2,,M,1,0,1,0,0,0
194,The Devil's Own,1997,5.9,,M,1,0,1,1,0,0
195,K-19: The Widowmaker,2002,6.1,,M,1,0,1,0,1,0
196,Conan the Barbarian,1982,6.6,,M,1,0,1,0,0,0
197,Cinderella Man,2005,7.3,http://www.cinderellamanmovie.com/index.php,M,0,0,1,0,1,1
198,The Nutcracker: The Untold Story,2010,5.4,http://www.nutcrackerin3d.com/,M,1,0,1,0,0,0
199,Seabiscuit,2003,6.7,http://www.seabiscuitmovie.com/,M,0,0,1,0,1,0
200,Twister,1996,6.1,,M,1,0,1,0,0,0
201,Cast Away,2000,7.5,,M,1,0,1,0,0,0
202,The Bourne Supremacy,2004,7.2,https://www.uphe.com/movies/the-bourne-supremacy,M,1,0,1,0,0,0
203,Air Force One,1997,6.2,,M,1,0,0,0,0,0
204,Ocean's Eleven,2001,7.2,http://www.warnerbros.co.uk/movies/oceans-eleven,M,1,0,0,1,0,0
205,Hotel Transylvania,2012,6.8,http://www.welcometohotelt.com,M,0,1,1,0,0,0
206,Safe House,2012,6.3,http://www.nooneissafe.com,M,1,0,0,0,0,0
207,102 Dalmatians,2000,5.1,,M,0,1,0,0,0,0
208,Tower Heist,2011,5.8,http://www.towerheist.com/index.php,M,1,1,0,0,0,0
209,The Holiday,2006,6.7,http://www.sonypictures.com/movies/theholiday/,M,0,1,0,0,0,1
210,Enemy of the State,1998,6.7,,M,1,0,1,0,0,0
211,It's Complicated,2009,6.2,http://itscomplicatedmovie.com/,M,0,1,0,0,0,1
212,Open Season,2006,6.1,http://www.sonypictures.com/movies/openseason/,M,1,1,0,0,0,0
213,Enemy at the Gates,2001,7.2,,M,0,0,0,0,1,0
214,The Rundown,2003,6.4,http://www.therundown.com/,M,1,1,0,0,0,0
215,Last Action Hero,1993,6.1,,M,1,1,1,0,0,0
216,Memoirs of a Geisha,2005,7.3,http://www.sonypictures.com/homevideo/memoirsofageisha/index.html,M,0,0,1,0,1,1
217,Arthur Christmas,2011,6.7,http://www.arthurchristmas.com/,M,0,1,1,0,0,0
218,Meet Joe Black,1998,6.9,http://www.meetjoeblack.com/,M,0,0,1,1,0,0
219,Collateral Damage,2002,5.5,http://www.wbshop.com/product/code/1000040993.do,M,1,0,1,0,0,0
220,All That Jazz,1979,7.3,,M,0,0,1,0,1,0
221,Mirror Mirror,2012,5.5,,M,1,1,1,0,0,0
222,The Core,2003,5.4,,M,1,0,1,0,0,0
223,Nutty Professor II: The Klumps,2000,4.7,,M,0,1,1,0,0,1
224,Scooby-Doo,2002,5.4,,M,1,1,0,1,0,0
225,Click,2006,6,,M,0,1,1,0,0,1
226,Creepshow,1982,6.7,,M,0,1,1,1,0,0
227,Cats & Dogs 2 : The Revenge of Kitty Galore,2010,4.9,http://catsanddogsmovie.warnerbros.com/,M,0,1,0,0,0,0
228,The 6th Day,2000,5.7,,M,0,0,1,0,0,0
229,Bruce Almighty,2003,6.4,http://www.brucealmighty.com/,M,0,1,1,0,0,0
230,Mission: Impossible,1996,6.7,http://www.missionimpossible.com/,M,1,0,0,0,0,0
231,The Hangover Part II,2011,6.2,http://hangoverpart2.warnerbros.com/,M,0,1,0,0,0,0
232,Batman Returns,1992,6.6,,M,1,0,1,0,0,0
233,Over the Hedge,2006,6.3,,M,0,1,0,0,0,0
234,Lilo & Stitch,2002,7.1,,M,0,1,0,0,0,0
235,Charlotte's Web,2006,5.8,,M,0,1,1,0,0,0
236,Deep Impact,1998,5.9,,M,1,0,1,0,0,1
237,RED 2,2013,6.4,http://red-themovie.com/,M,1,1,0,1,0,0
238,The Longest Yard,2005,6.2,,M,0,1,1,0,0,0
239,Alvin and the Chipmunks: Chipwrecked,2011,5.4,http://www.munkyourself.com/,M,0,1,1,0,1,0
240,Get Smart,2008,6,http://getsmartmovie.warnerbros.com/,M,1,1,0,0,0,0
241,Something's Gotta Give,2003,6.3,,M,0,1,1,0,0,1
242,Four Christmases,2008,5.3,,M,0,1,1,0,0,1
243,Robots,2005,6,,M,0,1,1,0,0,0
244,Face/Off,1997,6.8,,M,1,0,1,1,0,0
245,Bedtime Stories,2008,5.9,,M,0,1,1,0,0,1
246,Road to Perdition,2002,7.3,,M,1,0,1,1,0,0
247,Con Air,1997,6.5,,M,1,0,0,1,0,0
248,Cold Mountain,2003,6.7,,M,0,0,1,0,0,0
249,Flubber,1997,5.3,,M,0,1,1,0,0,0
250,The Haunting,1999,5.2,,M,1,0,1,1,0,0
251,Space Jam,1996,6.5,http://www.warnerbros.com/archive/spacejam/movie/jam.htm,M,0,1,1,0,0,0
252,The Pink Panther,2006,5.6,,M,1,1,0,1,0,0
253,The Day the Earth Stood Still,2008,5.2,,M,1,0,1,0,0,0
254,Conspiracy Theory,1997,6.5,,M,1,0,1,1,0,0
255,Six Days Seven Nights,1998,5.6,,M,1,1,0,0,0,1
256,Yogi Bear,2010,5.2,http://www.yogibear.com/,M,1,1,0,0,0,0
257,Spirit: Stallion of the Cimarron,2002,7.4,,M,1,1,0,0,0,0
258,Zookeeper,2011,5.3,http://www.zookeeper-movie.com/,M,0,1,0,0,0,1
259,Lost in Space,1998,5,,M,1,0,1,0,0,0
260,The Manchurian Candidate,2004,6.2,,M,1,0,1,1,0,0
261,DÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Â ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â©jÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Â ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â  Vu,1998,8,,M,0,0,1,0,0,1
262,Fantasia 2000,1999,7,http://movies.disney.com/fantasia-2000,M,0,1,0,0,1,0
263,The Time Machine,2002,5.8,http://timemachine.countingdown.com/,M,1,0,1,0,0,0
264,Mighty Joe Young,1998,5.9,,M,1,0,1,0,0,0
265,Swordfish,2001,6.1,,M,1,0,0,1,0,0
266,The Legend of Zorro,2005,5.9,http://www.sonypictures.com/homevideo/thelegendofzorro/index.html,M,1,0,0,0,0,0
267,What Dreams May Come,1998,6.8,,M,0,0,1,0,0,1
268,Little Nicky,2000,5.2,,M,0,1,1,0,0,1
269,The Brothers Grimm,2005,5.6,,M,1,1,1,0,0,0
270,Mars Attacks!,1996,6.1,http://marsattacks.warnerbros.com/,M,0,1,1,0,0,0
271,Evolution,2015,6.4,,M,0,0,1,1,0,0
272,The Edge,1997,6.7,,M,1,0,1,0,0,0
273,Surrogates,2009,5.9,http://chooseyoursurrogate.com/,M,1,0,1,0,0,0
274,Thirteen Days,2000,6.9,,M,1,0,1,0,0,0
275,Daylight,1996,5.8,,M,1,0,0,0,0,0
276,Walking With Dinosaurs,2013,5.2,http://www.walkingwithdinosaurs.com/movie/,M,1,1,0,0,0,0
277,Battlefield Earth,2000,3,,M,1,0,1,0,1,0
278,Looney Tunes: Back in Action,2003,5.6,,M,0,1,0,0,0,0
279,Nine,2009,5.1,http://nine-movie.com/,M,0,0,1,0,1,1
280,Timeline,2003,5.4,,M,1,0,1,0,0,0
281,The Postman,1997,6.1,,M,1,0,1,0,0,0
282,Babe: Pig in the City,1998,5.2,,M,1,1,1,0,0,0
283,Red Planet,2000,5.4,,M,1,0,1,0,0,0
284,Arthur and the Invisibles,2006,6,,M,1,1,1,0,0,0
285,Oceans,2009,7.3,http://oceans-lefilm.com/,M,0,0,0,0,1,0
286,A Sound of Thunder,2005,4.8,http://asoundofthunder.warnerbros.com/,M,1,0,1,0,0,0
287,Top Cat Begins,2015,5.3,,M,0,1,0,0,0,0
288,A Beautiful Mind,2001,7.7,http://www.abeautifulmind.com/,M,0,0,1,0,0,1
289,The Lion King,1994,8,http://movies.disney.com/the-lion-king,M,0,1,1,0,0,0
290,Journey 2: The Mysterious Island,2012,5.8,http://www.themysteriousisland.com/,M,1,0,1,0,0,0
291,Cloudy with a Chance of Meatballs 2,2013,6.4,,M,0,1,0,0,0,0
292,Red Dragon,2002,6.7,,M,1,0,0,1,0,0
293,Hidalgo,2004,6.5,,M,1,0,0,0,0,0
294,Jack and Jill,2011,4.1,http://www.jackandjill-movie.com/,M,0,1,0,0,0,0
295,2 Fast 2 Furious,2003,6.2,,M,1,0,0,1,0,0
296,The Little Prince,2015,7.6,http://www.thelittleprincemovie.com/,M,1,1,1,0,0,0
297,The Invasion,2007,5.7,,M,1,0,1,0,0,0
298,The Adventures of Rocky & Bullwinkle,2000,3.9,,M,1,1,0,0,0,0
299,The League of Extraordinary Gentlemen,2003,5.7,,M,1,0,1,0,0,0
300,Independence Day,1996,6.7,,M,1,0,1,0,0,0
301,The Lost World: Jurassic Park,1997,6.2,,M,1,0,1,0,0,0
302,Madagascar,2005,6.6,,M,0,1,0,0,0,0
303,X-Men,2000,6.8,,M,1,0,1,0,0,0
304,The Rock,1996,6.9,,M,1,0,0,0,0,0
305,Ice Age: The Meltdown,2006,6.5,http://www.iceagemovies.com/films/ice-age-the-meltdown,M,1,1,0,0,0,0
306,50 First Dates,2004,6.6,,M,0,1,0,0,0,1
307,Exorcist: The Beginning,2004,4.7,,M,1,0,0,1,0,0
308,Inspector Gadget,1999,4.3,,M,1,1,0,0,0,0
309,The Terminal,2004,7,http://www.theterminal-themovie.com/,M,0,1,1,0,0,0
310,Hotel for Dogs,2009,5.7,,M,0,1,0,0,0,0
311,Vertical Limit,2000,5.9,https://www.epicbuzz.net/movies/vertical-limit,M,1,0,0,0,0,0
312,Charlie Wilson's War,2007,6.5,http://www.charliewilsonswar.net/,M,0,1,1,0,1,0
313,Shark Tale,2004,5.8,,M,1,1,0,0,0,0
314,Dreamgirls,2006,6.6,http://www.dreamgirlsmovie.com/,M,0,0,1,0,0,0
315,Be Cool,2005,5.4,,M,0,1,0,1,0,0
316,Munich,2005,6.9,,M,1,0,1,0,1,0
317,Tears of the Sun,2003,6.4,,M,1,0,1,0,1,0
318,Killers,2010,5.7,http://killersfilm.com/,M,1,1,0,0,0,1
319,Spanglish,2004,5.8,,M,0,1,0,0,0,0
320,Monster House,2006,6.3,http://www.sonypictures.com/movies/monsterhouse/,M,0,1,1,0,0,0
321,Bandits,2001,6.2,,M,1,1,0,1,0,1
322,First Knight,1995,5.9,,M,1,0,1,0,0,1
323,Anna and the King,1999,6.4,,M,0,0,1,0,1,1
324,Hostage,2005,6.2,,M,1,0,1,1,0,0
325,Titan A.E.,2000,6.3,,M,1,1,1,0,0,0
326,Hollywood Homicide,2003,5,,M,1,1,0,0,0,0
327,Soldier,1998,6.1,http://www.wb-soldier.com/,M,1,0,1,0,1,0
328,Carriers,2009,5.8,,M,1,0,1,1,0,0
329,Monkeybone,2001,4.3,,M,1,1,1,0,0,0
