title,year,popularity,comedy,fantasy,romance,horror,action,non-fiction,type
Legion,2010,5.2,0,1,0,1,1,0,M
End of Watch,2012,7.7,0,1,0,1,1,0,M
3 Days to Kill,2014,6.2,0,1,0,0,1,0,M
Lucky Number Slevin,2006,7.8,0,1,0,1,0,0,M
Trance,2013,7,0,1,0,1,0,0,M
Into the Forest,2015,5.9,0,1,0,0,1,0,M
The Other Boleyn Girl,2008,6.7,0,1,0,0,0,1,M
I Spit on Your Grave,2010,6.3,0,0,0,1,1,0,M
Custody,2016,6.9,0,1,0,0,0,0,M
Inland Empire,2006,7,0,1,0,1,1,0,M
L'odyssÃƒÂ©e,2016,6.7,0,0,0,0,1,1,M
The Walk,2015,7.3,0,0,0,1,1,1,M
Wrecker,2015,3.5,0,0,0,1,1,0,M
The Lone Ranger,2013,6.5,0,0,0,0,1,0,M
Texas Chainsaw 3D,2013,4.8,0,0,0,1,1,0,M
Disturbia,2007,6.9,0,1,0,1,1,0,M
Rock of Ages,2012,5.9,1,1,0,0,0,1,M
Scream 4,2011,6.2,0,0,0,1,0,0,M
Queen of Katwe,2016,7.4,0,1,0,0,0,1,M
My Big Fat Greek Wedding 2,2016,6,1,0,1,0,0,0,M
Dark Places,2015,6.2,0,1,0,1,1,0,M
Amateur Night,2016,5,1,0,0,0,0,0,M
It's Only the End of the World,2016,7,0,1,0,0,0,0,M
The Skin I Live In,2011,7.6,0,1,0,0,1,0,M
Miracles from Heaven,2016,7,0,1,0,0,0,1,M
Annie,2014,5.3,1,1,0,0,0,0,M
Across the Universe,2007,7.4,0,1,0,0,0,1,M
Let's Be Cops,2014,6.5,1,0,0,0,0,0,M
Max,2015,6.8,0,0,0,0,1,0,M
Your Highness,2011,5.6,1,1,0,0,1,0,M
Final Destination 5,2011,5.9,0,0,0,1,1,0,M
Endless Love,2014,6.3,0,1,1,0,0,0,M
Martyrs,2008,7.1,0,0,0,1,0,0,M
Selma,2014,7.5,0,1,0,0,0,1,M
Underworld: Rise of the Lycans,2009,6.6,0,1,0,0,1,0,M
Taare Zameen Par,2007,8.5,0,1,0,0,0,1,M
Take Me Home Tonight,2011,6.3,1,1,1,0,0,0,M
Resident Evil: Afterlife,2010,5.9,0,0,0,1,1,0,M
Project X,2012,6.7,1,0,0,0,0,0,M
Secret in Their Eyes,2015,6.2,0,1,0,1,0,0,M
Hostel: Part II,2007,5.5,0,0,0,1,0,0,M
Step Up 2: The Streets,2008,6.2,0,1,1,0,0,1,M
Search Party,2014,5.6,1,0,0,0,1,0,M
Nine Lives,2016,5.3,1,1,0,0,0,0,M
