title,year,popularity,comedy,fantasy,romance,horror,action,non-fiction,type
Beyond the Gates,2016,5.2,0,0,0,1,1,0,M
Her,2013,8,0,1,1,0,0,0,M
Frozen,2013,7.5,1,0,0,0,1,0,M
Tomorrowland,2015,6.5,0,0,0,0,1,0,M
Dawn of the Planet of the Apes,2014,7.6,0,1,0,0,1,0,M
Tropic Thunder,2008,7,1,0,0,0,1,0,M
The Conjuring 2,2016,7.4,0,0,0,1,1,0,M
Ant-Man,2015,7.3,1,0,0,0,1,0,M
Bridget Jones's Baby,2016,6.7,1,0,1,0,0,0,M
The VVitch: A New-England Folktale,2015,6.8,0,0,0,1,0,0,M
Cinderella,2015,7,0,1,0,0,0,0,M
Realive,2016,5.9,0,1,0,0,0,0,M
Forushande,2016,8,0,1,0,0,1,0,M
Love,2015,6,0,1,1,0,0,0,M
Billy Lynn's Long Halftime Walk,2016,6.3,0,1,0,0,0,1,M
Crimson Peak,2015,6.6,0,1,0,1,0,0,M
Drive,2011,7.8,0,1,0,1,0,0,M
Trainwreck,2015,6.3,1,1,1,0,0,0,M
The Light Between Oceans,2016,7.2,0,1,1,0,0,0,M
Below Her Mouth,2016,5.6,0,1,0,0,0,0,M
Spotlight,2015,8.1,0,1,0,1,0,1,M
Morgan,2016,5.8,0,1,0,1,1,0,M
Warrior,2011,8.2,0,1,0,0,1,1,M
Captain America: The First Avenger,2011,6.9,0,1,0,0,1,0,M
Hacker,2016,6.3,0,1,0,1,1,0,M
Into the Wild,2007,8.1,0,1,0,0,1,1,M
The Imitation Game,2014,8.1,0,1,0,0,1,1,M
Central Intelligence,2016,6.3,1,0,0,1,1,0,M
Edge of Tomorrow,2014,7.9,0,1,0,0,1,0,M
A Cure for Wellness,2016,6.5,0,1,0,1,0,0,M
Snowden,2016,7.3,0,1,0,0,1,1,M
Iron Man,2008,7.9,0,1,0,0,1,0,M
Allegiant,2016,5.7,0,0,0,1,1,0,M
X: First Class,2011,7.8,0,1,0,0,1,0,M
Raw (II),2016,7.5,0,1,0,1,0,0,M
Paterson,2016,7.5,1,1,1,0,0,0,M
Bridesmaids,2011,6.8,1,0,1,0,0,0,M
The Girl with All the Gifts,2016,6.7,0,1,0,1,1,0,M
San Andreas,2015,6.1,0,1,0,0,1,0,M
Spring Breakers,2012,5.3,0,1,0,0,0,0,M
Transformers,2007,7.1,0,1,0,0,1,0,M
Old Boy,2013,5.8,0,1,0,1,1,0,M
Thor: The Dark World,2013,7,0,1,0,0,1,0,M
Gods of Egypt,2016,5.5,0,1,0,0,1,0,M
Captain America: The Winter Soldier,2014,7.8,0,1,0,0,1,0,M
Monster Trucks,2016,5.7,1,0,0,0,1,0,M
A Dark Song,2016,6.1,0,1,0,1,0,0,M
Kick-Ass,2010,7.7,1,0,0,0,1,0,M
Hardcore Henry,2015,6.7,0,1,0,0,1,0,M
Cars,2006,7.1,1,0,0,0,1,0,M
It Follows,2014,6.9,0,0,0,1,0,0,M
The Girl with the Dragon Tattoo,2011,7.8,0,1,0,1,0,0,M
We're the Millers,2013,7,1,0,0,1,0,0,M
American Honey,2016,7,0,1,0,0,0,0,M
The Lobster,2015,7.1,1,1,1,0,0,0,M
Predators,2010,6.4,0,1,0,0,1,0,M
Maleficent,2014,7,0,0,0,0,1,0,M
Rupture,2016,4.8,0,1,0,1,1,0,M
Pan's Labyrinth,2006,8.2,0,1,0,0,0,1,M
A Kind of Murder,2016,5.2,0,1,0,1,1,0,M
Apocalypto,2006,7.8,0,1,0,0,1,0,M
Mission: Impossible - Rogue Nation,2015,7.4,0,0,0,0,1,0,M
The Huntsman: Winter's War,2016,6.1,0,1,0,0,1,0,M
The Perks of Being a Wallflower,2012,8,0,1,1,0,0,0,M
Jackie,2016,6.8,0,1,0,0,0,1,M
The Disappointments Room,2016,3.9,0,1,0,1,1,0,M
The Grand Budapest Hotel,2014,8.1,1,1,0,0,1,0,M
The Host,2013,5.9,0,0,1,0,1,0,M
Fury,2014,7.6,0,1,0,0,1,1,M
Inside Out,2015,8.2,1,0,0,0,1,0,M
Rock Dog,2016,5.8,1,0,0,0,1,0,M
Terminator Genisys,2015,6.5,0,1,0,0,1,0,M
Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,0,1,0,0,1,0,M
Les MisÃƒÂ©rables,2012,7.6,0,1,1,0,0,1,M
Children of Men,2006,7.9,0,1,0,0,1,0,M
20th Century Women,2016,7.4,1,1,0,0,0,0,M
Spy,2015,7.1,1,0,0,1,1,0,M
The Intouchables,2011,8.6,1,1,0,0,0,1,M
Bonjour Anne,2016,4.9,1,1,1,0,0,0,M
Kynodontas,2009,7.3,0,1,0,0,1,0,M
Straight Outta Compton,2015,7.9,0,1,0,0,0,1,M
The Amazing Spider-Man 2,2014,6.7,0,1,0,0,1,0,M
The Conjuring,2013,7.5,0,0,0,1,1,0,M
The Hangover,2009,7.8,1,0,0,0,0,0,M
Battleship,2012,5.8,0,1,0,0,1,0,M
Rise of the Planet of the Apes,2011,7.6,0,1,0,0,1,0,M
Lights Out,2016,6.4,0,0,0,1,0,0,M
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2016,7.1,0,1,0,0,1,0,M
Birdman or (The Unexpected Virtue of Ignorance),2014,7.8,1,1,1,0,0,0,M
Black Swan,2010,8,0,1,0,0,1,0,M
Dear White People,2014,6.2,1,1,0,0,0,0,M
Nymphomaniac: Vol. I,2013,7,0,1,0,0,0,0,M
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6,1,0,0,0,1,0,M
Knock Knock,2015,4.9,0,1,0,1,1,0,M
Dirty Grandpa,2016,6,1,0,0,0,0,0,M
Cloud Atlas,2012,7.5,0,1,0,0,0,0,M
X-Men Origins: Wolverine,2009,6.7,0,1,0,0,1,0,M
Satanic,2016,3.7,0,0,0,1,0,0,M
Skyfall,2012,7.8,0,0,0,0,1,0,M
