,record_id,title,year,popularity,homepage,type,action,comedy,fantasy,horror,non-fiction,romance
89,89,The Chronicles of Riddick,2004,6.3,https://www.google.com/,M,1,0,1,0,0,0
90,90,Speed Racer,2008,5.7,http://www.speedracerthemovie.warnerbros.com/,M,1,0,1,0,0,0
91,91,How Do You Know,2010,4.9,http://www.howdoyouknow-movie.com/,M,0,1,1,0,0,1
92,92,Knight and Day,2010,5.9,http://www.knightanddaymovie.com,M,1,1,0,0,0,0
93,93,Star Wars: Episode III - Revenge of the Sith,2005,7.1,http://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,M,1,0,1,0,0,0
94,94,Star Wars: Episode II - Attack of the Clones,2002,6.4,http://www.starwars.com/films/star-wars-episode-ii-attack-of-the-clones,M,1,0,1,0,0,0
95,95,"Monsters, Inc.",2001,7.5,http://movies.disney.com/monsters-inc,M,0,1,0,0,0,0
96,96,Star Wars: Episode I - The Phantom Menace,1999,6.3,http://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,M,1,0,1,0,0,0
97,97,The Croods,2013,6.8,http://www.thecroodsmovie.com/,M,1,1,1,0,0,0
98,98,Asterix at the Olympic Games,2008,5,http://www.asterixauxjeuxolympiques.com/index.php,M,1,1,1,0,0,0
99,99,Windtalkers,2002,5.8,https://www.google.com/,M,1,0,1,0,1,0
100,100,Dante's Peak,1997,5.7,https://www.google.com/,M,1,0,0,0,0,0
101,101,Night at the Museum,2006,6.3,https://www.google.com/,M,1,1,1,0,0,0
102,102,Tomorrow Never Dies,1997,6,http://www.mgm.com/view/movie/2029/Tomorrow-Never-Dies/,M,1,0,0,0,0,0
103,103,The Patriot,2000,6.8,https://www.google.com/,M,1,0,1,0,1,0
104,104,Ocean's Twelve,2004,6.4,http://oceans12.warnerbros.com/,M,1,0,0,1,0,0
105,105,Mr. & Mrs. Smith,2005,6.5,https://www.google.com/,M,1,1,1,0,0,0
106,106,The Aviator,2004,7,https://www.google.com/,M,0,0,1,0,0,0
107,107,Gulliver's Travels,2010,4.9,https://www.google.com/,M,0,1,0,0,0,0
108,108,The Green Hornet,2011,5.5,http://www.sonypictures.com/movies/thegreenhornet/,M,1,1,0,1,0,0
109,109,The Smurfs,2011,5.5,http://www.smurfhappens.com/,M,1,1,1,0,0,0
110,110,Home on the Range,2004,5.7,http://movies.disney.com/home-on-the-range,M,0,1,0,0,0,0
111,111,The Smurfs 2,2013,5.5,http://smurfhappens.com,M,0,1,1,0,0,0
112,112,Speed 2: Cruise Control,1997,4.1,https://www.google.com/,M,1,0,0,0,0,0
113,113,The Lord of the Rings: The Fellowship of the Ring,2001,8,http://www.lordoftherings.net/,M,1,0,1,0,0,0
114,114,Around the World in 80 Days,2004,5.7,https://www.google.com/,M,1,1,0,0,0,0
115,115,Ali,2001,6.7,https://www.google.com/,M,0,0,1,0,0,0
116,116,The Cat in the Hat,2003,4.9,https://www.google.com/,M,0,1,1,0,0,0
117,117,"I, Robot",2004,6.7,https://www.google.com/,M,1,0,1,0,0,0
118,118,Kingdom of Heaven,2005,6.6,http://www.kingdomofheavendvd.com/,M,1,0,1,0,1,0
119,119,Stuart Little,1999,5.8,https://www.google.com/,M,0,1,1,0,0,0
120,120,The Island,2005,6.5,http://www.theisland-themovie.com/,M,1,0,1,0,0,0
121,121,Town & Country,2001,3.7,https://www.google.com/,M,0,1,0,0,0,1
122,122,Gone in Sixty Seconds,2000,6.1,https://www.google.com/,M,1,0,0,1,0,0
123,123,Gladiator,2000,7.9,https://www.google.com/,M,1,0,1,0,0,0
124,124,Minority Report,2002,7.1,https://www.google.com/,M,1,0,1,1,0,0
125,125,Harry Potter and the Chamber of Secrets,2002,7.4,https://www.google.com/,M,1,0,1,0,0,0
126,126,Planet of the Apes,2001,5.6,https://www.google.com/,M,1,0,1,0,0,0
127,127,Terminator 2: Judgment Day,1991,7.7,https://www.google.com/,M,1,0,1,0,0,0
128,128,True Lies,1994,6.8,https://www.google.com/,M,1,0,0,0,0,0
129,129,The Taking of Pelham 1 2 3,2009,6.2,http://www.sonypictures.com/movies/thetakingofpelham123/,M,1,0,1,1,0,0
130,130,Little Fockers,2010,5.4,http://www.littlefockers.net/,M,0,1,0,0,0,1
131,131,Eraser,1996,5.6,http://www.warnerbros.com/eraser,M,1,0,1,1,0,0
132,132,The Hunchback of Notre Dame,1996,6.8,https://www.google.com/,M,0,1,1,0,0,0
133,133,The Emperor's New Groove,2000,7.2,https://www.google.com/,M,1,1,1,0,0,0
134,134,National Treasure,2004,6.4,https://www.google.com/,M,1,0,0,1,0,0
135,135,Eragon,2006,4.9,http://www.eragonmovie.com/,M,1,0,1,0,0,0
136,136,Where the Wild Things Are,2009,6.4,http://wherethewildthingsare.warnerbros.com/,M,0,0,1,0,0,0
137,137,Epic,2013,6.4,https://www.google.com/,M,1,1,1,0,0,0
138,138,The Tourist,2010,6,http://thetourist-movie.com/,M,1,0,0,0,0,1
139,139,End of Days,1999,5.5,http://www.end-of-days.com/,M,1,0,1,1,0,0
140,140,Batman Forever,1995,5.2,https://www.google.com/,M,1,0,1,1,0,0
141,141,Starship Troopers,1997,6.7,https://www.google.com/,M,1,0,1,0,0,0
142,142,Legend of the Guardians: The Owls of Ga'Hoole,2010,6.5,http://legendoftheguardians.warnerbros.com/,M,1,1,1,0,0,0
143,143,Catwoman,2004,4.2,https://www.google.com/,M,1,0,0,1,0,0
144,144,Treasure Planet,2002,7.2,https://www.google.com/,M,1,1,1,0,0,0
145,145,Land of the Lost,2009,5.3,https://www.google.com/,M,1,1,1,0,0,0
146,146,Son of the Mask,2005,3.6,https://www.google.com/,M,1,1,1,0,0,0
147,147,The Adventures of Pluto Nash,2002,4.4,https://www.google.com/,M,1,1,1,0,0,0
148,148,Green Zone,2010,6.4,http://www.greenzonemovie.com/,M,1,0,1,0,1,0
149,149,The Peanuts Movie,2015,6.5,http://www.peanutsmovie.com/,M,0,1,0,0,0,0
150,150,The Spanish Prisoner,1997,7.1,https://www.google.com/,M,1,0,1,1,0,0
151,151,The Mummy Returns,2001,6,https://www.google.com/,M,1,0,1,0,0,0
152,152,Gangs of New York,2002,7.1,http://video.movies.go.com/gangsofnewyork/,M,0,0,1,1,1,0
153,153,The Flowers of War,2011,7.1,http://www.theflowersofwarmovie.com/,M,0,0,1,0,1,0
154,154,Surf's Up,2007,5.9,http://www.sonypictures.com/homevideo/surfsup/,M,0,1,0,0,0,0
155,155,The Stepford Wives,2004,5.4,https://www.google.com/,M,1,1,1,0,0,0
156,156,Black Hawk Down,2001,7.2,https://www.google.com/,M,1,0,0,0,1,0
157,157,The Campaign,2012,5.6,https://www.google.com/,M,0,1,0,0,0,0
158,158,The Fifth Element,1997,7.3,https://www.google.com/,M,1,0,1,0,0,0
159,159,The Road to El Dorado,2000,7,https://www.google.com/,M,1,1,0,0,0,0
160,160,Ice Age: Continental Drift,2012,6.2,http://www.iceagemovies.com/films/ice-age-continental-drift,M,1,1,0,0,0,0
161,161,Finding Nemo,2003,7.6,http://movies.disney.com/finding-nemo,M,0,1,0,0,0,0
162,162,The Lord of the Rings: The Return of the King,2003,8.1,http://www.lordoftherings.net,M,1,0,1,0,0,0
163,163,The Lord of the Rings: The Two Towers,2002,8,http://www.lordoftherings.net/,M,1,0,1,0,0,0
164,164,Lara Croft: Tomb Raider,2001,5.7,https://www.google.com/,M,1,0,1,0,0,0
165,165,Jurassic Park III,2001,5.7,https://www.google.com/,M,1,0,1,0,0,0
166,166,The Spiderwick Chronicles,2008,6.3,https://www.google.com/,M,1,0,1,0,0,0
167,167,A Good Day to Die Hard,2013,5.2,http://www.diehardmovie.com/,M,1,0,0,0,0,0
168,168,The Alamo,2004,5.8,https://www.google.com/,M,1,0,0,0,1,0
169,169,The Incredibles,2004,7.4,http://disney.go.com/disneyvideos/animatedfilms/incredibles/main.html,M,1,1,0,0,0,0
170,170,Cutthroat Island,1995,5.7,https://www.google.com/,M,1,0,0,0,0,0
171,171,Men in Black,1997,6.9,http://www.sonypictures.com/homevideo/meninblack/,M,1,1,1,0,0,0
172,172,Toy Story 2,1999,7.3,http://toystory.disney.com/toy-story-2,M,0,1,0,0,0,0
173,173,Rush Hour 2,2001,6.4,https://www.google.com/,M,1,1,0,1,0,0
174,174,What Lies Beneath,2000,6.3,https://www.google.com/,M,1,0,1,1,0,0
175,175,Cloudy with a Chance of Meatballs,2009,6.5,http://www.cloudywithachanceofmeatballs.com/,M,0,1,0,0,0,0
176,176,Ice Age: Dawn of the Dinosaurs,2009,6.5,http://www.iceagemovies.com/films/ice-age-dawn-of-the-dinosaurs,M,1,1,0,0,0,0
177,177,Charlie's Angels,2000,5.6,https://www.google.com/,M,1,1,0,1,0,0
178,178,Mulan,1998,7.6,https://www.google.com/,M,1,1,0,0,0,0
179,179,Die Hard: With a Vengeance,1995,6.9,https://www.google.com/,M,1,0,0,0,0,0
180,180,Atlantis: The Lost Empire,2001,6.7,http://www.disney.com/atlantis,M,1,1,1,0,0,0
181,181,Alvin and the Chipmunks: The Road Chip,2015,5.8,http://www.foxmovies.com/movies/alvin-and-the-chipmunks-the-road-chip,M,1,1,0,0,0,0
182,182,Valkyrie,2008,6.7,https://www.google.com/,M,1,0,1,0,1,0
183,183,A.I. Artificial Intelligence,2001,6.8,https://www.google.com/,M,1,0,1,0,0,0
184,184,The Haunted Mansion,2003,5.2,https://www.google.com/,M,1,1,1,1,0,0
185,185,Contact,1997,7.2,http://www.warnerbros.com/contact,M,0,0,1,1,0,0
186,186,Hollow Man,2000,5.6,https://www.google.com/,M,1,0,1,0,0,0
187,187,The Interpreter,2005,6.2,http://www.theinterpretermovie.com/,M,1,0,0,1,0,0
188,188,Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,https://www.google.com/,M,1,0,1,0,0,0
189,189,The Saint,1997,5.9,https://www.google.com/,M,1,0,1,0,0,1
190,190,Spy Game,2001,6.8,https://www.google.com/,M,1,0,0,1,0,0
191,191,Mission to Mars,2000,5.7,https://www.google.com/,M,0,0,1,0,0,0
192,192,Bicentennial Man,1999,6.9,https://www.google.com/,M,0,1,1,0,0,0
193,193,Volcano,1997,5.2,https://www.google.com/,M,1,0,1,0,0,0
194,194,The Devil's Own,1997,5.9,https://www.google.com/,M,1,0,1,1,0,0
195,195,K-19: The Widowmaker,2002,6.1,https://www.google.com/,M,1,0,1,0,1,0
196,196,Conan the Barbarian,1982,6.6,https://www.google.com/,M,1,0,1,0,0,0
197,197,Cinderella Man,2005,7.3,http://www.cinderellamanmovie.com/index.php,M,0,0,1,0,1,1
198,198,The Nutcracker: The Untold Story,2010,5.4,http://www.nutcrackerin3d.com/,M,1,0,1,0,0,0
199,199,Seabiscuit,2003,6.7,http://www.seabiscuitmovie.com/,M,0,0,1,0,1,0
200,200,Twister,1996,6.1,https://www.google.com/,M,1,0,1,0,0,0
201,201,Cast Away,2000,7.5,https://www.google.com/,M,1,0,1,0,0,0
202,202,The Bourne Supremacy,2004,7.2,https://www.uphe.com/movies/the-bourne-supremacy,M,1,0,1,0,0,0
203,203,Air Force One,1997,6.2,https://www.google.com/,M,1,0,0,0,0,0
204,204,Ocean's Eleven,2001,7.2,http://www.warnerbros.co.uk/movies/oceans-eleven,M,1,0,0,1,0,0
205,205,Hotel Transylvania,2012,6.8,http://www.welcometohotelt.com,M,0,1,1,0,0,0
206,206,Safe House,2012,6.3,http://www.nooneissafe.com,M,1,0,0,0,0,0
207,207,102 Dalmatians,2000,5.1,https://www.google.com/,M,0,1,0,0,0,0
208,208,Tower Heist,2011,5.8,http://www.towerheist.com/index.php,M,1,1,0,0,0,0
209,209,The Holiday,2006,6.7,http://www.sonypictures.com/movies/theholiday/,M,0,1,0,0,0,1
210,210,Enemy of the State,1998,6.7,https://www.google.com/,M,1,0,1,0,0,0
211,211,It's Complicated,2009,6.2,http://itscomplicatedmovie.com/,M,0,1,0,0,0,1
212,212,Open Season,2006,6.1,http://www.sonypictures.com/movies/openseason/,M,1,1,0,0,0,0
213,213,Enemy at the Gates,2001,7.2,https://www.google.com/,M,0,0,0,0,1,0
214,214,The Rundown,2003,6.4,http://www.therundown.com/,M,1,1,0,0,0,0
215,215,Last Action Hero,1993,6.1,https://www.google.com/,M,1,1,1,0,0,0
216,216,Memoirs of a Geisha,2005,7.3,http://www.sonypictures.com/homevideo/memoirsofageisha/index.html,M,0,0,1,0,1,1
217,217,Arthur Christmas,2011,6.7,http://www.arthurchristmas.com/,M,0,1,1,0,0,0
218,218,Meet Joe Black,1998,6.9,http://www.meetjoeblack.com/,M,0,0,1,1,0,0
219,219,Collateral Damage,2002,5.5,http://www.wbshop.com/product/code/1000040993.do,M,1,0,1,0,0,0
220,220,All That Jazz,1979,7.3,https://www.google.com/,M,0,0,1,0,1,0
221,221,Mirror Mirror,2012,5.5,https://www.google.com/,M,1,1,1,0,0,0
222,222,The Core,2003,5.4,https://www.google.com/,M,1,0,1,0,0,0
223,223,Nutty Professor II: The Klumps,2000,4.7,https://www.google.com/,M,0,1,1,0,0,1
224,224,Scooby-Doo,2002,5.4,https://www.google.com/,M,1,1,0,1,0,0
225,225,Click,2006,6,https://www.google.com/,M,0,1,1,0,0,1
226,226,Creepshow,1982,6.7,https://www.google.com/,M,0,1,1,1,0,0
227,227,Cats & Dogs 2 : The Revenge of Kitty Galore,2010,4.9,http://catsanddogsmovie.warnerbros.com/,M,0,1,0,0,0,0
228,228,The 6th Day,2000,5.7,https://www.google.com/,M,0,0,1,0,0,0
229,229,Bruce Almighty,2003,6.4,http://www.brucealmighty.com/,M,0,1,1,0,0,0
230,230,Mission: Impossible,1996,6.7,http://www.missionimpossible.com/,M,1,0,0,0,0,0
231,231,The Hangover Part II,2011,6.2,http://hangoverpart2.warnerbros.com/,M,0,1,0,0,0,0
232,232,Batman Returns,1992,6.6,https://www.google.com/,M,1,0,1,0,0,0
233,233,Over the Hedge,2006,6.3,https://www.google.com/,M,0,1,0,0,0,0
234,234,Lilo & Stitch,2002,7.1,https://www.google.com/,M,0,1,0,0,0,0
235,235,Charlotte's Web,2006,5.8,https://www.google.com/,M,0,1,1,0,0,0
236,236,Deep Impact,1998,5.9,https://www.google.com/,M,1,0,1,0,0,1
237,237,RED 2,2013,6.4,http://red-themovie.com/,M,1,1,0,1,0,0
238,238,The Longest Yard,2005,6.2,https://www.google.com/,M,0,1,1,0,0,0
239,239,Alvin and the Chipmunks: Chipwrecked,2011,5.4,http://www.munkyourself.com/,M,0,1,1,0,1,0
240,240,Get Smart,2008,6,http://getsmartmovie.warnerbros.com/,M,1,1,0,0,0,0
241,241,Something's Gotta Give,2003,6.3,https://www.google.com/,M,0,1,1,0,0,1
242,242,Four Christmases,2008,5.3,https://www.google.com/,M,0,1,1,0,0,1
243,243,Robots,2005,6,https://www.google.com/,M,0,1,1,0,0,0
244,244,Face/Off,1997,6.8,https://www.google.com/,M,1,0,1,1,0,0
245,245,Bedtime Stories,2008,5.9,https://www.google.com/,M,0,1,1,0,0,1
246,246,Road to Perdition,2002,7.3,https://www.google.com/,M,1,0,1,1,0,0
247,247,Con Air,1997,6.5,https://www.google.com/,M,1,0,0,1,0,0
248,248,Cold Mountain,2003,6.7,https://www.google.com/,M,0,0,1,0,0,0
249,249,Flubber,1997,5.3,https://www.google.com/,M,0,1,1,0,0,0
250,250,The Haunting,1999,5.2,https://www.google.com/,M,1,0,1,1,0,0
251,251,Space Jam,1996,6.5,http://www.warnerbros.com/archive/spacejam/movie/jam.htm,M,0,1,1,0,0,0
252,252,The Pink Panther,2006,5.6,https://www.google.com/,M,1,1,0,1,0,0
253,253,The Day the Earth Stood Still,2008,5.2,https://www.google.com/,M,1,0,1,0,0,0
254,254,Conspiracy Theory,1997,6.5,https://www.google.com/,M,1,0,1,1,0,0
255,255,Six Days Seven Nights,1998,5.6,https://www.google.com/,M,1,1,0,0,0,1
256,256,Yogi Bear,2010,5.2,http://www.yogibear.com/,M,1,1,0,0,0,0
257,257,Spirit: Stallion of the Cimarron,2002,7.4,https://www.google.com/,M,1,1,0,0,0,0
258,258,Zookeeper,2011,5.3,http://www.zookeeper-movie.com/,M,0,1,0,0,0,1
259,259,Lost in Space,1998,5,https://www.google.com/,M,1,0,1,0,0,0
260,260,The Manchurian Candidate,2004,6.2,https://www.google.com/,M,1,0,1,1,0,0
