"title@sourceA","year@sourceA","popularity@sourceA","comedy@sourceA","fantasy@sourceA","romance@sourceA","horror@sourceA","action@sourceA","non-fiction@sourceA","type@sourceA","title@sourceB","year@sourceB","homepage@sourceB","popularity@sourceB","romance@sourceB","horror@sourceB","action@sourceB","comedy@sourceB","fantasy@sourceB","non-fiction@sourceB","type@sourceB","Confidence"
"There Will Be Blood","2007","8.1","0","1","0","0","0","1","M","There Will Be Blood","2007","","7.9","0","0","0","0","1","0","M","100"
"No Escape","2015","6.8","0","0","0","0","1","0","M","No Escape","2015","","6.7","0","0","1","0","0","0","M","100"
"Indignation","2016","6.9","0","1","1","0","0","0","M","Indignation","2016","","6.8","0","0","0","0","1","0","M","100"
"Alice Through the Looking Glass","2016","6.2","0","1","0","0","1","0","M","Alice Through the Looking Glass","2016","http://movies.disney.com/alice-through-the-looking-glass","6.5","0","0","0","0","1","0","M","100"
"Sherlock Holmes: A Game of Shadows","2011","7.5","0","0","0","1","1","0","M","Sherlock Holmes: A Game of Shadows","2011","http://sherlockholmes2.warnerbros.com/index.html","7","0","1","1","0","0","0","M","100"
"12 Years a Slave","2013","8.1","0","1","0","0","0","1","M","12 Years a Slave","2013","","7.9","0","0","0","0","1","1","M","100"
"Red Dawn","2012","5.4","0","0","0","0","1","0","M","Red Dawn","1984","","6.4","0","0","1","0","0","0","M","100"
"Source Code","2011","7.5","0","1","1","1","0","0","M","Source Code","2011","http://www.enterthesourcecode.com/","7.1","0","1","1","0","1","0","M","100"
"Star Trek Beyond","2016","7.1","0","1","0","0","1","0","M","Star Trek Beyond","2016","http://www.startrekmovie.com/","6.6","0","0","1","0","1","0","M","100"
"Blackhat","2015","5.4","0","1","0","1","0","0","M","Blackhat","2015","http://www.legendary.com/film/blackhat/","5.1","0","1","0","0","1","0","M","100"
"Tangled","2010","7.8","1","0","0","0","1","0","M","Tangled","2010","http://disney.go.com/disneypictures/tangled/","7.4","0","0","0","1","0","0","M","100"
"The Hangover","2009","7.8","1","0","0","0","0","0","M","The Hangover","2009","http://hangoverpart2.warnerbros.com/dvd/","7.2","0","0","0","1","0","0","M","100"
"Let's Be Cops","2014","6.5","1","0","0","0","0","0","M","Let's Be Cops","2014","","6.4","0","0","0","1","0","0","M","100"
"Fury","2014","7.6","0","1","0","0","1","1","M","Fury","2014","","7.4","0","0","1","0","1","1","M","100"
