"title@sourceA","year@sourceA","popularity@sourceA","comedy@sourceA","fantasy@sourceA","romance@sourceA","horror@sourceA","action@sourceA","non-fiction@sourceA","type@sourceA","title@sourceB","year@sourceB","homepage@sourceB","popularity@sourceB","romance@sourceB","horror@sourceB","action@sourceB","comedy@sourceB","fantasy@sourceB","non-fiction@sourceB","type@sourceB","Confidence"
"Casino Royale","2006","8","0","0","0","0","1","0","M","Casino Royale","2006","http://www.mgm.com/#/our-titles/233/Casino-Royale-(2006)","7.3","0","0","1","0","0","0","M","100"
"The Lovely Bones","2009","6.7","0","1","0","0","1","0","M","The Lovely Bones","2009","http://www.lovelybones.com","6.6","0","0","0","0","1","0","M","100"
"Battleship","2012","5.8","0","1","0","0","1","0","M","Battleship","2012","","5.5","0","0","1","0","1","0","M","100"
"Zipper","2015","5.7","0","1","0","0","1","0","M","Zipper","2015","","5.5","0","0","1","0","1","0","M","100"
"The Town","2010","7.6","0","1","0","1","1","0","M","The Town","2010","http://thetownmovie.warnerbros.com/","7","0","1","1","0","1","0","M","100"
"The Jungle Book","2016","7.5","0","1","0","0","1","0","M","The Jungle Book","2016","http://movies.disney.com/the-jungle-book-2016","6.7","0","0","1","0","1","0","M","100"
"The Gunman","2015","5.8","0","1","0","1","1","0","M","The Gunman","2015","","5.5","0","1","1","0","1","0","M","100"
"Moneyball","2011","7.6","0","1","0","0","0","1","M","Moneyball","2011","http://www.moneyball-movie.com/","7","0","0","0","0","1","0","M","100"
"Criminal","2016","6.3","0","1","0","1","1","0","M","Criminal","2016","","5.7","0","0","1","0","0","0","M","100"
"Into the Wild","2007","8.1","0","1","0","0","1","1","M","Into the Wild","2007","http://www.intothewild.com/","7.8","0","0","1","0","1","0","M","100"
"Jurassic World","2015","7","0","1","0","0","1","0","M","Jurassic World","2015","http://www.jurassicworld.com/","6.5","0","0","1","0","1","0","M","100"
"Oblivion","2013","7","0","0","0","1","1","0","M","Oblivion","2013","https://www.uphe.com/movies/oblivion","6.4","0","1","1","0","1","0","M","100"
"Project X","2012","6.7","1","0","0","0","0","0","M","Project X","2012","","6.5","0","1","0","1","0","0","M","100"
"Don Jon","2013","6.6","1","1","1","0","0","0","M","Don Jon","2013","","5.9","1","0","0","1","1","0","M","100"
"Conan the Barbarian","2011","5.2","0","1","0","0","1","0","M","Conan the Barbarian","1982","","6.6","0","0","1","0","1","0","M","100"
"Law Abiding Citizen","2009","7.4","0","1","0","1","1","0","M","Law Abiding Citizen","2009","","7.2","0","1","1","0","1","0","M","100"
"Need for Speed","2014","6.5","0","1","0","1","1","0","M","Need for Speed","2014","","6.1","0","1","1","0","1","0","M","100"
"A Million Ways to Die in the West","2014","6.1","1","0","1","0","1","0","M","A Million Ways to Die in the West","2014","","5.8","0","0","1","1","0","0","M","100"
"Super","2010","6.8","1","1","0","0","0","0","M","Super","2010","http://www.thecrimsonbolt.com/","6.6","0","0","1","1","1","0","M","100"
"Iron Man 2","2010","7","0","1","0","0","1","0","M","Iron Man 2","2010","http://www.ironmanmovie.com/","6.6","0","0","1","0","1","0","M","100"
"No Country for Old Men","2007","8.1","0","1","0","1","1","0","M","No Country for Old Men","2007","","7.7","0","1","1","0","1","0","M","100"
"Midnight in Paris","2011","7.7","1","1","1","0","0","0","M","Midnight in Paris","2011","http://www.sonyclassics.com/midnightinparis","7.4","1","0","0","1","1","0","M","100"
"What to Expect When You're Expecting","2012","5.7","1","1","1","0","0","0","M","What to Expect When You're Expecting","2012","http://whattoexpectthefilm.com/","5.8","1","0","0","1","1","0","M","100"
"Thor","2011","7","0","1","0","0","1","0","M","Thor","2011","http://thor.marvel.com/","6.6","0","0","1","0","1","0","M","100"
"Shame","2011","7.2","0","1","0","0","0","0","M","Shame","2011","http://www.foxsearchlight.com/shame/","7","0","0","0","0","1","0","M","100"
"Skyfall","2012","7.8","0","0","0","0","1","0","M","Skyfall","2012","http://www.skyfall-movie.com","6.9","0","0","1","0","0","0","M","100"
"Free State of Jones","2016","6.9","0","1","0","0","1","1","M","Free State of Jones","2016","http://stxmovies.com/freestateofjones/","6.6","0","0","1","0","1","1","M","100"
"The Purge: Election Year","2016","6","0","1","0","1","1","0","M","The Purge: Election Year","2016","http://www.purgeelectionyear.com","6.1","0","1","1","0","0","0","M","100"
"Keanu","2016","6.3","1","0","0","0","1","0","M","Keanu","2016","http://keanumovie.com/","6","0","0","1","1","0","0","M","100"
"We Need to Talk About Kevin","2011","7.5","0","1","0","1","1","0","M","We Need to Talk About Kevin","2011","http://kevin.oscilloscope.net/","7.4","0","0","1","0","1","0","M","100"
"Public Enemies","2009","7","0","1","0","1","0","1","M","Public Enemies","2009","http://www.publicenemies.net/","6.5","0","1","0","0","1","1","M","100"
"Flight","2012","7.3","0","1","0","0","1","0","M","Flight","2012","http://www.paramount.com/flight","6.5","0","0","0","0","1","0","M","100"
"Olympus Has Fallen","2013","6.5","0","0","0","0","1","0","M","Olympus Has Fallen","2013","","6.2","0","0","1","0","0","0","M","100"
"Grindhouse","2007","7.6","0","0","0","1","1","0","M","Grindhouse","2007","","6.8","0","1","1","0","0","0","M","100"
"Tinker Tailor Soldier Spy","2011","7.1","0","1","0","1","1","0","M","Tinker Tailor Soldier Spy","2011","http://www.tinker-tailor-soldier-spy.com/","6.6","0","1","1","0","1","0","M","100"
"Evil Dead","2013","6.5","0","1","0","1","0","0","M","Evil Dead","2013","http://www.evildead-movie.com/","6.4","0","1","0","0","0","0","M","100"
"The Bourne Ultimatum","2007","8.1","0","0","0","1","1","0","M","The Bourne Ultimatum","2007","http://www.universalstudiosentertainment.com/the-bourne-ultimatum/","7.3","0","1","1","0","1","0","M","100"
"Remember Me","2010","7.2","0","1","1","0","0","0","M","Remember Me","2010","http://rememberme-movie.com/","6.9","1","0","0","0","1","0","M","100"
"Across the Universe","2007","7.4","0","1","0","0","0","1","M","Across the Universe","2007","http://www.acrosstheuniverse.com/","7.1","1","0","1","0","1","1","M","100"
"Disturbia","2007","6.9","0","1","0","1","1","0","M","Disturbia","2007","http://www.disturbia.com/","6.6","0","1","1","0","1","0","M","100"
"Snow White and the Huntsman","2012","6.1","0","1","0","0","1","0","M","Snow White and the Huntsman","2012","http://www.snowwhiteandthehuntsman.com/","5.8","0","0","1","0","1","0","M","100"
"The Neon Demon","2016","6.2","0","0","0","1","1","0","M","The Neon Demon","2016","http://theneondemon.com/","6.4","0","1","1","0","0","0","M","100"
"Black Swan","2010","8","0","1","0","0","1","0","M","Black Swan","2010","http://www.foxsearchlight.com/blackswan/","7.3","0","0","1","0","1","0","M","100"
"The Road","2009","7.3","0","1","0","0","1","0","M","The Road","2009","http://www.theroad-movie.com/","6.8","0","0","1","0","1","0","M","100"
"Maleficent","2014","7","0","0","0","0","1","0","M","Maleficent","2014","http://movies.disney.com/maleficent","7","1","0","1","0","1","0","M","100"
"The Man from U.N.C.L.E.","2015","7.3","1","0","0","0","1","0","M","The Man from U.N.C.L.E.","2015","","7.1","0","0","1","1","0","0","M","100"
"Revolutionary Road","2008","7.3","0","1","1","0","0","0","M","Revolutionary Road","2008","","6.7","1","0","0","0","1","0","M","100"
"Begin Again","2013","7.4","0","1","0","0","0","1","M","Begin Again","2013","","7.3","1","0","0","1","1","1","M","100"
"Seventh Son","2014","5.5","0","1","0","0","1","0","M","Seventh Son","2014","http://www.seventhsonmovie.com/","5.2","0","0","1","0","1","0","M","100"
"A Walk Among the Tombstones","2014","6.5","0","1","0","1","0","0","M","A Walk Among the Tombstones","2014","","6.2","0","1","1","0","1","0","M","100"
"Kung Fu Panda","2008","7.6","1","0","0","0","1","0","M","Kung Fu Panda","2008","http://www.kungfupanda.com/","6.9","0","0","1","1","0","0","M","100"
"American Gangster","2007","7.8","0","1","0","1","0","1","M","American Gangster","2007","http://www.americangangster.net/","7.4","0","1","0","0","1","0","M","100"
"Piranha 3D","2010","5.5","1","0","0","1","1","0","M","Piranha 3D","2010","http://www.piranha-3d.com","5.3","0","1","0","1","0","0","M","100"
"Sausage Party","2016","6.3","1","0","0","0","1","0","M","Sausage Party","2016","http://www.sausagepartymovie.com","5.6","0","0","1","1","1","0","M","100"
"Iris","2016","6.1","0","0","0","0","1","0","M","Iris","2001","","6.2","1","0","0","0","1","0","M","100"
"Ant-Man","2015","7.3","1","0","0","0","1","0","M","Ant-Man","2015","http://marvel.com/movies/movie/180/ant-man","7","0","0","1","0","1","0","M","100"
"Alice in Wonderland","2010","6.5","0","1","0","0","1","0","M","Alice in Wonderland","2010","http://disney.go.com/wonderland/","6.4","0","0","1","0","1","0","M","100"
"The Grand Budapest Hotel","2014","8.1","1","1","0","0","1","0","M","The Grand Budapest Hotel","2014","","8","0","0","0","1","1","0","M","100"
"The Place Beyond the Pines","2012","7.3","0","1","0","1","1","0","M","The Place Beyond the Pines","2013","http://www.focusfeatures.com/the_place_beyond_the_pines","6.8","0","1","0","0","1","0","M","100"
"Dawn of the Planet of the Apes","2014","7.6","0","1","0","0","1","0","M","Dawn of the Planet of the Apes","2014","http://www.dawnofapes.com/","7.3","0","0","1","0","1","0","M","100"
"Rush","2013","8.1","0","1","0","0","1","1","M","Rush","2013","","7.7","0","0","1","0","1","0","M","100"
"The Wolverine","2013","6.7","0","1","0","0","1","0","M","The Wolverine","2013","http://www.thewolverinemovie.com","6.3","0","0","1","0","1","0","M","100"
"Wrath of the Titans","2012","5.8","0","1","0","0","1","0","M","Wrath of the Titans","2012","http://www.wrathofthetitansmovie.org","5.5","0","0","1","0","0","0","M","100"
"Pitch Perfect 2","2015","6.5","1","0","0","0","0","1","M","Pitch Perfect 2","2015","","6.8","0","0","0","1","0","1","M","100"
"Babel","2006","7.5","0","1","0","0","0","0","M","Babel","2006","","6.9","0","0","0","0","1","0","M","100"
"Pineapple Express","2008","7","1","0","0","1","1","0","M","Pineapple Express","2008","http://www.sonypictures.com/movies/pineappleexpress/","6.6","0","0","1","1","0","0","M","100"
"Lincoln","2012","7.4","0","1","0","0","0","1","M","Lincoln","2012","","6.7","0","0","0","0","1","1","M","100"
"Eastern Promises","2007","7.7","0","1","0","1","0","0","M","Eastern Promises","2007","http://www.focusfeatures.com/easternpromises/","7.2","0","1","1","0","0","0","M","100"
"Transcendence","2014","6.3","0","1","1","1","0","0","M","Transcendence","2014","","5.9","0","1","1","0","1","0","M","100"
"Dark Shadows","2012","6.2","1","1","0","1","0","0","M","Dark Shadows","2012","http://darkshadowsmovie.warnerbros.com","5.7","0","0","0","1","1","0","M","100"
"Juno","2007","7.5","1","1","0","0","0","0","M","Juno","2007","http://www.foxsearchlight.com/juno/","7","1","0","0","1","1","0","M","100"
"The Hunger Games: Catching Fire","2013","7.6","0","0","0","1","1","0","M","The Hunger Games: Catching Fire","2013","http://www.thehungergames.movie/","7.4","0","0","1","0","1","0","M","100"
"X-Men: The Last Stand","2006","6.7","0","1","0","0","1","0","M","X-Men: The Last Stand","2006","","6.3","0","0","1","0","1","0","M","100"
"Nightcrawler","2014","7.9","0","1","0","1","1","0","M","Nightcrawler","2014","http://nightcrawlerfilm.com/","7.6","0","1","1","0","1","0","M","100"
"The Hateful Eight","2015","7.8","0","1","0","1","0","0","M","The Hateful Eight","2015","http://thehatefuleight.com/","7.6","0","1","1","0","1","0","M","100"
"Mission: Impossible - Rogue Nation","2015","7.4","0","0","0","0","1","0","M","Mission: Impossible - Rogue Nation","2015","http://www.missionimpossible.com","7.1","0","0","1","0","0","0","M","100"
"Zero Dark Thirty","2012","7.4","0","1","0","0","1","1","M","Zero Dark Thirty","2012","http://www.zerodarkthirty-movie.com/site/","6.7","0","0","1","0","1","1","M","100"
"17 Again","2009","6.4","1","1","0","0","0","0","M","17 Again","2009","http://www.17againmovie.com/","6.1","0","0","0","1","0","0","M","100"
"Friends with Benefits","2011","6.6","1","0","1","0","0","0","M","Friends with Benefits","2011","http://www.fwb-movie.com/","6.5","1","0","0","1","0","0","M","100"
"Miracles from Heaven","2016","7","0","1","0","0","0","1","M","Miracles from Heaven","2016","http://www.miraclesfromheaven-movie.com/","6.7","0","0","0","0","1","0","M","100"
"Brooklyn","2015","7.5","0","1","1","0","0","0","M","Brooklyn","2015","http://www.foxsearchlight.com/brooklyn/","7.2","1","0","0","0","1","0","M","100"
"The Gambler","2014","6","0","1","0","1","1","0","M","The Gambler","2014","http://www.thegamblermovie.com/","5.7","0","1","1","0","1","0","M","100"
"Home","2015","6.7","1","0","0","0","1","0","M","Home","2015","http://www.meettheboov.com/","6.8","0","0","0","1","1","0","M","100"
"Snakes on a Plane","2006","5.6","0","0","0","1","1","0","M","Snakes on a Plane","2006","","5.1","0","1","1","0","0","0","M","100"
"Monsters University","2013","7.3","1","0","0","0","1","0","M","Monsters University","2013","","7","0","0","0","1","0","0","M","100"
"How to Be Single","2016","6.1","1","0","1","0","0","0","M","How to Be Single","2016","http://howtobesinglemovie.com/","5.9","1","0","0","1","0","0","M","100"
"The Other Guys","2010","6.7","1","0","0","1","1","0","M","The Other Guys","2010","http://www.theotherguys-movie.com/","6.1","0","1","1","1","0","0","M","100"
"Happy Feet","2006","6.5","1","0","0","0","0","0","M","Happy Feet","2006","http://www.warnerbros.com/happy-feet","5.9","0","0","0","1","0","0","M","100"
"Rise of the Planet of the Apes","2011","7.6","0","1","0","0","1","0","M","Rise of the Planet of the Apes","2011","http://www.apeswillrise.com/","7","0","0","1","0","1","0","M","100"
"Blue Valentine","2010","7.4","0","1","1","0","0","0","M","Blue Valentine","2010","http://www.bluevalentinemovie.com/","6.9","1","0","0","0","1","0","M","100"
"Funny Games","2007","6.5","0","1","0","1","0","0","M","Funny Games","2007","http://wip.warnerbros.com/funnygames/","6.3","0","1","1","0","0","0","M","100"
"Blue Jasmine","2013","7.3","0","1","0","0","0","0","M","Blue Jasmine","2013","","7","0","0","0","1","1","0","M","100"
"Idiocracy","2006","6.6","1","1","0","0","1","0","M","Idiocracy","2006","","6.3","0","0","1","1","1","0","M","100"
"Captain America: The Winter Soldier","2014","7.8","0","1","0","0","1","0","M","Captain America: The Winter Soldier","2014","http://www.captainamericathewintersoldiermovie.com","7.6","0","0","1","0","1","0","M","100"
"Neighbors 2: Sorority Rising","2016","5.7","1","0","0","0","0","0","M","Neighbors 2: Sorority Rising","2016","http://www.neighbors-movie.com/","5.6","0","0","0","1","0","0","M","100"
"No Strings Attached","2011","6.2","1","0","1","0","0","0","M","No Strings Attached","2011","http://www.nostringsattachedmovie.com/","6.1","1","0","0","1","0","0","M","100"
"The Hurt Locker","2008","7.6","0","1","0","0","1","1","M","The Hurt Locker","2008","http://www.thehurtlocker-movie.com/","7.2","0","0","1","0","1","1","M","100"
"Transformers: Revenge of the Fallen","2009","6","0","1","0","0","1","0","M","Transformers: Revenge of the Fallen","2009","http://www.transformersmovie.com/","6","0","0","1","0","1","0","M","100"
"The Break-Up","2006","5.8","1","1","1","0","0","0","M","The Break-Up","2006","https://www.uphe.com/movies/the-break-up","5.6","1","0","0","1","0","0","M","100"
"The Other Woman","2014","6","1","0","1","0","0","0","M","The Other Woman","2014","","6.2","1","0","0","1","0","0","M","100"
"Grown Ups 2","2013","5.4","1","0","0","0","0","0","M","Grown Ups 2","2013","http://www.sonypictures.com/movies/grownups2","5.8","0","0","0","1","0","0","M","100"
"Your Highness","2011","5.6","1","1","0","0","1","0","M","Your Highness","2011","http://www.yourhighnessmovie.net/","5.2","0","0","0","1","0","0","M","100"
"The Rise of the Krays","2015","5.1","0","1","0","1","0","0","M","The Rise of the Krays","2015","http://www.signature-entertainment.co.uk/film/rise-of-the-krays/","4.5","0","1","0","0","0","0","M","100"
"Snowpiercer","2013","7","0","1","0","0","1","0","M","Snowpiercer","2013","http://snowpiercer-film.com/","6.7","0","0","1","0","1","0","M","100"
"Mamma Mia!","2008","6.4","1","0","0","0","0","1","M","Mamma Mia!","2008","","6.4","1","0","0","1","0","0","M","100"
"Vacation","2015","6.1","1","0","0","0","1","0","M","Vacation","2015","","6.2","0","0","0","1","0","0","M","100"
"Saving Mr. Banks","2013","7.5","1","1","0","0","0","1","M","Saving Mr. Banks","2013","","7.3","0","0","0","1","1","1","M","100"
"Faster","2010","6.5","0","1","0","1","1","0","M","Faster","2010","http://www.fasterthemovie.com/","6.1","0","1","1","0","1","0","M","100"
"The Last Witch Hunter","2015","6","0","1","0","0","1","0","M","The Last Witch Hunter","2015","http://www.thelastwitchhunter.movie/","5.7","0","0","1","0","1","0","M","100"
"Transformers: Age of Extinction","2014","5.7","0","1","0","0","1","0","M","Transformers: Age of Extinction","2014","http://www.transformersmovie.com","5.8","0","0","1","0","1","0","M","100"
"Twilight","2008","5.2","0","1","1","0","0","0","M","Twilight","2008","http://www.twilightthemovie.com","5.8","1","0","1","0","1","0","M","100"
"Bridge of Spies","2015","7.6","0","1","0","0","1","1","M","Bridge of Spies","2015","","7.2","0","0","1","0","1","0","M","100"
"Jack Ryan: Shadow Recruit","2014","6.2","0","1","0","0","1","0","M","Jack Ryan: Shadow Recruit","2014","","5.9","0","0","1","0","1","0","M","100"
"Tusk","2014","5.4","1","1","0","1","0","0","M","Tusk","2014","","5.1","0","1","0","1","0","0","M","100"
"The Huntsman: Winter's War","2016","6.1","0","1","0","0","1","0","M","The Huntsman: Winter's War","2016","http://www.thehuntsmanmovie.com/","6","0","0","1","0","1","0","M","100"
"Django Unchained","2012","8.4","0","1","0","0","1","0","M","Django Unchained","2012","http://unchainedmovie.com/","7.8","0","0","1","0","1","0","M","100"
"Diary of a Wimpy Kid: Dog Days","2012","6.4","1","0","0","0","0","0","M","Diary of a Wimpy Kid: Dog Days","2012","","6","0","0","0","1","0","0","M","100"
"Texas Chainsaw 3D","2013","4.8","0","0","0","1","1","0","M","Texas Chainsaw 3D","2013","","5.3","0","1","1","0","0","0","M","100"
"Winter's Bone","2010","7.2","0","1","0","0","0","0","M","Winter's Bone","2010","http://www.wintersbonemovie.com/","6.8","0","0","0","0","1","0","M","100"
"Tomorrowland","2015","6.5","0","0","0","0","1","0","M","Tomorrowland","2015","http://movies.disney.com/tomorrowland","6.2","0","1","1","0","1","0","M","100"
"Immortals","2011","6","0","1","0","0","1","0","M","Immortals","2011","http://www.immortalsmovie.com/splash/","5.7","0","0","1","0","1","0","M","100"
"Trust","2010","7","0","1","0","1","1","0","M","Trust","2010","http://www.trustmovie2011.com/","6.6","0","1","1","0","1","0","M","100"
"Little Miss Sunshine","2006","7.8","1","1","0","0","0","0","M","Little Miss Sunshine","2006","http://www.foxsearchlight.com/littlemisssunshine/","7.5","0","0","0","1","1","0","M","100"
"Pride and Prejudice and Zombies","2016","5.8","0","0","1","1","1","0","M","Pride and Prejudice and Zombies","2016","https://www.facebook.com/PPZMovie","5.5","1","1","1","1","0","0","M","100"
"300","2006","7.7","0","1","0","0","1","1","M","300","2006","http://300themovie.warnerbros.com","7","0","0","1","0","0","1","M","100"
"I Spit on Your Grave","2010","6.3","0","0","0","1","1","0","M","I Spit on Your Grave","2010","","6.3","0","1","1","0","0","0","M","100"
"(500) Days of Summer","2009","7.7","1","1","1","0","0","0","M","(500) Days of Summer","2009","http://500days.com","7.2","1","0","0","1","1","0","M","100"
"The Last Airbender","2010","4.2","0","0","0","0","1","0","M","The Last Airbender","2010","http://www.thelastairbendermovie.com/","4.7","0","0","1","0","1","0","M","100"
"This Is 40","2012","6.2","1","0","1","0","0","0","M","This Is 40","2012","http://www.thisis40movie.com/","5.6","0","0","0","1","0","0","M","100"
"Joy","2015","6.6","0","1","0","0","0","0","M","Joy","2015","http://www.foxmovies.com/movies/joy","6.4","0","0","0","1","1","0","M","100"
"The Illusionist","2006","7.6","0","1","1","1","0","0","M","The Illusionist","2006","","7.1","1","0","1","0","1","0","M","100"
"Teenage Mutant Ninja Turtles","2014","5.9","1","0","0","0","1","0","M","Teenage Mutant Ninja Turtles","2014","http://www.teenagemutantninjaturtlesmovie.com","5.8","0","0","1","1","1","0","M","100"
"P.S. I Love You","2007","7.1","0","1","1","0","0","0","M","P.S. I Love You","2007","","6.9","1","0","0","0","1","0","M","100"
"Deadpool","2016","8","1","0","0","0","1","0","M","Deadpool","2016","http://www.foxmovies.com/movies/deadpool","7.4","0","0","1","1","0","0","M","100"
"The Amazing Spider-Man 2","2014","6.7","0","1","0","0","1","0","M","The Amazing Spider-Man 2","2014","http://www.theamazingspiderman.com","6.5","0","0","1","0","1","0","M","100"
"The Infiltrator","2016","7.1","0","1","0","1","0","1","M","The Infiltrator","2016","http://www.theinfiltrator.com/","6.6","0","1","1","0","1","0","M","100"
"Love & Other Drugs","2010","6.7","1","1","1","0","0","0","M","Love & Other Drugs","2010","http://www.loveandotherdrugsthemovie.com/","6.6","1","0","0","1","1","0","M","100"
"Bronson","2008","7.1","0","0","0","1","1","1","M","Bronson","2008","http://www.bronsonthemovie.com","6.9","0","1","1","0","1","0","M","100"
"Salt","2010","6.4","0","0","0","1","1","0","M","Salt","2010","http://www.sonypictures.com/homevideo/salt/","6.2","0","1","1","0","0","0","M","100"
"The Interview","2014","6.6","1","0","0","0","0","0","M","The Interview","2014","","6.1","0","0","1","1","0","0","M","100"
"Eddie the Eagle","2016","7.4","1","1","0","0","0","1","M","Eddie the Eagle","2016","http://www.foxmovies.com/movies/eddie-the-eagle","7.2","0","0","0","1","1","1","M","100"
"The Fault in Our Stars","2014","7.8","0","1","1","0","0","0","M","The Fault in Our Stars","2014","","7.6","1","0","0","0","1","0","M","100"
"Zombieland","2009","7.7","1","0","0","1","1","0","M","Zombieland","2009","http://www.zombieland.com/","7.2","0","1","0","1","0","0","M","100"
"Big Hero 6","2014","7.8","1","0","0","0","1","0","M","Big Hero 6","2014","http://movies.disney.com/big-hero-6","7.8","0","0","1","1","0","0","M","100"
"Mission: Impossible III","2006","6.9","0","0","0","0","1","0","M","Mission: Impossible III","2006","http://www.missionimpossible.com/","6.5","0","0","1","0","0","0","M","100"
"London Has Fallen","2016","5.9","0","1","0","1","1","0","M","London Has Fallen","2016","https://www.facebook.com/LondonHasFallenOfficial","5.8","0","1","1","0","0","0","M","100"
"Shutter Island","2010","8.1","0","0","0","1","1","0","M","Shutter Island","2010","http://www.shutterisland.com/","7.8","0","1","1","0","1","0","M","100"
"Wreck-It Ralph","2012","7.8","1","0","0","0","1","0","M","Wreck-It Ralph","2012","http://disney.go.com/wreck-it-ralph","7.1","0","0","1","1","0","0","M","100"
"I Am Number Four","2011","6.1","0","1","0","0","1","0","M","I Am Number Four","2011","http://www.findnumberfour.com/","5.9","0","0","1","0","1","0","M","100"
"Dracula Untold","2014","6.3","0","1","0","0","1","0","M","Dracula Untold","2014","","6.2","0","1","1","0","1","1","M","100"
"Green Room","2015","7","0","0","0","1","1","0","M","Green Room","2016","http://greenroom-movie.com/","6.7","0","1","1","0","0","0","M","100"
"Gravity","2013","7.8","0","1","0","0","1","0","M","Gravity","2013","http://gravitymovie.warnerbros.com/","7.3","0","0","1","0","1","0","M","100"
"The Three Musketeers","2011","5.8","0","0","1","0","1","0","M","The Three Musketeers","2011","http://www.threemusketeers-movie.com/","5.6","0","0","1","0","0","0","M","100"
"Noah","2014","5.8","0","1","0","0","1","0","M","Noah","2014","http://www.noahmovie.com","5.6","0","0","1","0","1","0","M","100"
"Step Brothers","2008","6.9","1","0","0","0","0","0","M","Step Brothers","2008","","6.5","0","0","0","1","0","0","M","100"
"American Sniper","2014","7.3","0","1","0","0","1","1","M","American Sniper","2014","http://www.americansnipermovie.com","7.4","0","0","1","0","0","1","M","100"
"Atonement","2007","7.8","0","1","1","1","0","0","M","Atonement","2007","","7.4","1","0","0","0","1","0","M","100"
"Magic Mike","2012","6.1","1","1","0","0","0","0","M","Magic Mike","2012","http://magicmikemovie.warnerbros.com","6.1","0","0","0","1","1","0","M","100"
"The Expendables 2","2012","6.6","0","0","0","0","1","0","M","The Expendables 2","2012","http://theexpendables2film.com/","6.1","0","0","1","0","0","0","M","100"
"White House Down","2013","6.4","0","1","0","0","1","0","M","White House Down","2013","","6.4","0","0","1","0","1","0","M","100"
"The Other Boleyn Girl","2008","6.7","0","1","0","0","0","1","M","The Other Boleyn Girl","2008","","6.4","0","0","0","0","1","0","M","100"
"We're the Millers","2013","7","1","0","0","1","0","0","M","We're the Millers","2013","http://werethemillers.warnerbros.com","6.8","0","1","0","1","0","0","M","100"
"The Boss","2016","5.4","1","0","0","0","0","0","M","The Boss","2016","http://www.thebossfilm.com/","5.5","0","0","0","1","0","0","M","100"
"Underworld: Rise of the Lycans","2009","6.6","0","1","0","0","1","0","M","Underworld: Rise of the Lycans","2009","","6.2","0","0","1","0","1","0","M","100"
"Cars 2","2011","6.2","1","0","0","0","1","0","M","Cars 2","2011","http://www.disney.go.com/cars/","5.8","0","0","1","1","0","0","M","100"
"Kick-Ass 2","2013","6.6","1","0","0","1","1","0","M","Kick-Ass 2","2013","","6.3","0","1","1","0","0","0","M","100"
"The Lucky One","2012","6.5","0","1","1","0","0","0","M","The Lucky One","2012","http://theluckyonemovie.warnerbros.com/","6.8","1","0","0","0","1","0","M","100"
"Independence Day: Resurgence","2016","5.3","0","1","0","0","1","0","M","Independence Day: Resurgence","2016","http://www.warof1996.com","4.9","0","0","1","0","1","0","M","100"
"Shooter","2007","7.2","0","1","0","1","1","0","M","Shooter","2007","http://www.shootermovie.com/","6.9","0","1","1","0","1","0","M","100"
"Woman in Gold","2015","7.3","0","1","0","0","0","1","M","Woman in Gold","2015","http://womaningoldmovie.com/","7.3","0","0","0","0","1","0","M","100"
"Pompeii","2014","5.5","0","1","0","0","1","0","M","Pompeii","2014","","5.2","1","0","1","0","1","1","M","100"
"Hail, Caesar!","2016","6.3","1","0","0","1","0","0","M","Hail, Caesar!","2016","http://www.hailcaesar-film.com/ww/","5.7","0","1","0","1","1","0","M","100"
"The Gift","2015","7.1","0","0","0","1","1","0","M","The Gift","2015","https://www.facebook.com/GIFTmovie","6.7","0","1","1","0","0","0","M","100"
"Enchanted","2007","7.1","1","0","0","0","0","0","M","Enchanted","2007","http://disney.go.com/disneypictures/enchanted/","6.6","1","0","0","1","1","0","M","100"
"Goosebumps","2015","6.3","1","0","0","0","1","0","M","Goosebumps","2015","http://www.goosebumps-movie.com/","6.2","0","1","1","1","0","0","M","100"
"Legion","2010","5.2","0","1","0","1","1","0","M","Legion","2010","http://www.legionmovie.com","5.2","0","1","0","0","0","0","M","100"
"Teenage Mutant Ninja Turtles: Out of the Shadows","2016","6","1","0","0","0","1","0","M","Teenage Mutant Ninja Turtles: Out of the Shadows","2016","http://www.teenagemutantninjaturtlesmovie.com/","5.8","0","0","1","1","1","0","M","100"
"Percy Jackson & the Olympians: The Lightning Thief","2010","5.9","0","1","0","0","1","0","M","Percy Jackson & the Olympians: The Lightning Thief","2010","","6","0","0","1","0","1","0","M","100"
"Bridge to Terabithia","2007","7.2","0","1","0","0","1","0","M","Bridge to Terabithia","2007","http://disney.go.com/disneyvideos/liveaction/bridgetoterabithia/","7","0","0","1","0","1","0","M","100"
"Stardust","2007","7.7","0","1","0","0","1","0","M","Stardust","2007","http://www.stardustmovie.com","7.1","1","0","1","0","1","0","M","100"
"Green Lantern","2011","5.6","0","1","0","0","1","0","M","Green Lantern","2011","http://greenlanternmovie.warnerbros.com/","5.1","0","0","1","0","1","0","M","100"
"The Shallows","2016","6.4","0","1","0","1","1","0","M","The Shallows","2016","http://www.theshallows-movie.com","6.2","0","1","1","0","1","0","M","100"
"Toy Story 3","2010","8.3","1","0","0","0","1","0","M","Toy Story 3","2010","http://disney.go.com/toystory/","7.6","0","0","0","1","0","0","M","100"
"The Book of Life","2014","7.3","1","0","0","0","1","0","M","The Book of Life","2014","http://www.bookoflifemovie.com/","7.3","1","0","1","1","1","0","M","100"
"Unbroken","2014","7.2","0","1","0","0","0","1","M","Unbroken","2014","http://www.unbrokenfilm.com/","7.3","0","0","0","0","1","1","M","100"
